smr_U	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
4.5	Nigeria	1.3313500140154853	0.9221722458637651	1.702419102876325	2765.9295071013266	2150.277150904179	3364.3979982887477	2077.537445437812	1448.4191485796275	3058.7444725899613	1	-1434.5794930858415	-2144.762196011963	-698.5218403224382	0	0.42	1	mixed
4.5	Ecuador	1.6053469750988645	0.91200428639178	2.2183148392696403	1606.4295260734386	1245.2414239440075	1944.2245198806472	1000.6743408069196	652.2573945521123	1763.9850643897314	1	3610.948142997871	1362.2047197769368	5644.36563199517	1	1	1	severe
4.5	Ecuador	0.4689038995778812	0.2929317549803765	0.651703914611004	1606.4295260734386	1245.2414239440075	1944.2245198806472	3425.924859058724	2245.0883250348793	5688.081724733348	1	-82.49185244532474	-764.0957657510655	625.6754563321657	0.395	0.992	1	less_severe
4.5	Ecuador	0.624596600924256	0.42620863150264887	0.8236556359307957	1606.4295260734386	1245.2414239440075	1944.2245198806472	2571.9472755636216	1772.8289858137052	3977.5245084235803	1	423.50942693039315	-333.9406056965258	1147.5623702039718	0.866	1	1	mixed
4.5	UK	0.20278205235511695	0.12357864654425357	0.2800314037178468	1299.65396336378	1006.3273673601633	1583.9349298726654	6409.117317186403	4211.281823604796	11049.926058597963	1	3668.506319336586	1728.6027269993144	5578.627334860438	1	1	1	severe
4.5	UK	0.058436425972302156	0.03897741731761354	0.07991687108695202	1299.65396336378	1006.3273673601633	1583.9349298726654	22240.47658184628	14758.546253849107	34997.24728418084	1	132.03847295762333	-419.68863530985203	721.7300953602014	0.676	1	1	less_severe
4.5	UK	0.0782117767867478	0.057676513324030676	0.10020243989754248	1299.65396336378	1006.3273673601633	1583.9349298726654	16617.113390831357	11782.709451345027	24413.66457836906	1	616.5345679115412	5.240546304588224	1203.5078739948494	0.975	1	1	mixed
5	Nigeria	2.4253259664788236	1.710067075855798	3.0844799218164844	2770.93388498172	2154.8485314382892	3368.7253721165102	1142.4995746054963	806.8585336452902	1697.424530924849	1	-345.6079185028964	-1269.5697962307192	562.697190483912	0.226	0.996	1	severe
5	Nigeria	1.4274936519538108	1.0284509532207442	1.7948204940862387	2770.93388498172	2154.8485314382892	3368.7253721165102	1941.1181837405318	1370.7375840093696	2779.3974579535397	1	-1343.440233027909	-2029.7712238485246	-610.5214334306528	0	0.579	1	less_severe
5	Nigeria	1.5641966790437378	1.150337780590918	1.942713417194443	2770.93388498172	2154.8485314382892	3368.7253721165102	1771.474087693188	1259.4188931822794	2482.240346745856	1	-1206.7372059379823	-1913.6026866123075	-465.4272642904122	0	0.766	1	mixed
5	Ecuador	1.6814792723193233	0.9881709523919349	2.2938634352001883	1607.1534141718448	1246.1925386941848	1944.7801964412529	955.7973390626706	628.5437808907792	1634.8888337550632	1	3857.6542208659553	1612.3186295392384	5890.072063975092	1	1	1	severe
5	Ecuador	0.5492907627355194	0.37051287130158533	0.7351731000465944	1607.1534141718448	1246.1925386941848	1944.7801964412529	2925.870091403086	1979.7747044275384	4522.774348157417	1	178.04156471859298	-505.5252853699269	889.1886679643818	0.697	1	1	less_severe
5	Ecuador	0.7044005885485005	0.5033005186258082	0.9027642020003347	1607.1534141718448	1246.1925386941848	1944.7801964412529	2281.590106963953	1594.0196242973225	3401.403583177423	1	682.1484986107816	-74.5124077748766	1405.1610418950572	0.966	1	1	mixed
5	UK	0.20843883717075296	0.1292962413081349	0.28567838965588016	1299.974982044362	1006.6918655067798	1584.2080770772277	6236.721523155607	4125.246038549792	10484.173190384487	1	3806.7765286390854	1867.453123631572	5720.152927069112	1	1	1	severe
5	UK	0.06438116334192144	0.044736268730975026	0.0859068703030334	1299.974982044362	1006.6918655067798	1584.2080770772277	20191.852935933053	13747.45278647546	30580.39522775354	1	277.3635198327132	-278.57189111003265	869.8377073129699	0.808	1	1	less_severe
5	UK	0.08411706465647137	0.06336748304344164	0.10616371193575477	1299.974982044362	1006.6918655067798	1584.2080770772277	15454.355039056289	11065.174103889769	22277.622134663638	1	760.8931020391863	145.60883105794983	1350.6477350251919	0.995	1	1	mixed
6.3	Nigeria	2.9593628095500866	2.261103141802404	3.612356172383954	2783.400332496949	2171.071424105768	3379.9303576900534	940.5404175232271	682.2691913222702	1325.1361648584661	1	175.96247705313792	-738.1734240267622	1093.2216798099728	0.658	1	1	severe
6.3	Nigeria	2.001178686957911	1.5855816084908725	2.383232122741761	2783.400332496949	2171.071424105768	3379.9303576900534	1390.8804599194145	1024.4818820310995	1836.5814680934159	1	-782.2216455390379	-1485.1807724143348	-52.93660567123754	0.016	0.993	1	less_severe
6.3	Nigeria	2.132449911753039	1.7022097204920095	2.5154591058279636	2783.400332496949	2171.071424105768	3379.9303576900534	1305.2594188291055	959.5845218875726	1728.2866866786962	1	-650.9504207439097	-1362.4680115906197	97.8000059288388	0.042	0.997	1	mixed
