country	setting	severity	gap	da_lo	da_hi	ic_lo	ic_hi	icer	inb_oc	inb_oc_lo	inb_oc_hi	inb_1x	inb_1x_lo	inb_1x_hi	daly_averted	incr_cost	gdp_pc	thr_1x	thr_3x	thr_oc	verdict	verdict_oc
Nigeria	LMIC	severe	0.30000000000000004	1.115492144908218	3.5289568514363077	1803.419599331027	2817.1588635098424	977.2456422162846	53.96172810025493	-1240.572134538791	1349.8826148505957	2425.4515593304627	-97.68589379312495	4786.897292965939	2.3714898312302077	2317.528103129953	2000	2000	6000	1000	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Nigeria	LMIC	severe	0.4	0.8923937159265743	2.8231654811490454	1442.7356794648224	2253.7270908078735	977.2456422162845	43.16938248020398	-992.4577076310327	1079.9060918804769	1940.3612474643703	-78.14871503450001	3829.5178343727516	1.8971918649841664	1854.0224825039622	2000	2000	6000	1000	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Nigeria	LMIC	severe	0.5	0.6692952869449309	2.1173741108617845	1082.0517595986164	1690.2953181059054	977.2456422162848	32.37703686015296	-744.3432807232755	809.9295689103581	1455.270935598278	-58.61153627587663	2872.1383757795643	1.4228938987381248	1390.516861877972	2000	2000	6000	1000	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Nigeria	LMIC	severe	0.6000000000000001	0.44619685796328634	1.4115827405745236	721.3678397324111	1126.8635454039363	977.2456422162844	21.58469124010205	-496.2288538155169	539.9530459402389	970.1806237321849	-39.074357517248544	1914.758917186374	0.9485959324920831	927.0112412519809	2000	2000	6000	1000	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Nigeria	LMIC	severe	0.7	0.2230984289816436	0.7057913702872609	360.683919866206	563.4317727019688	977.2456422162845	10.792345620051032	-248.11442690775922	269.97652297011894	485.090311866093	-19.537178758626112	957.37945859319	0.47429796624604204	463.505620625991	2000	2000	6000	1000	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Nigeria	LMIC	severe	0.8	0	0	0	0	NA	0	0	0	0	0	0	0	0	2000	2000	6000	1000	n/a (base case)	n/a (base case)
UK	HIC	less_severe	0.025	0.035603478403184806	0.11861780279731782	1008.0569409187281	1585.6419194531422	16813.021570366458	594.6766466058035	-460.89532681477016	1685.7401339754877	2490.034878089322	453.85904661359695	4562.77800465841	0.07736156046871505	1300.681584877715	49000	49000	147000	24500	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
UK	HIC	less_severe	0.05	0.023735652268789795	0.07907853519821167	672.0379606124831	1057.0946129687616	16813.021570366425	396.4510977372046	-307.2635512098542	1123.8267559836654	1660.0232520595519	302.5726977424131	3041.852003105594	0.05157437364581009	867.1210565851428	49000	49000	147000	24500	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
UK	HIC	less_severe	0.07500000000000001	0.011867826134394783	0.039539267599105934	336.0189803062398	528.5473064843845	16813.02157036654	198.22554886859837	-153.63177560494057	561.913377991826	830.0116260297691	151.28634887119745	1520.926001552822	0.02578718682290493	433.56052829257237	49000	49000	147000	24500	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
UK	HIC	less_severe	0.1	0	0	0	0	NA	0	0	0	0	0	0	0	0	49000	49000	147000	24500	n/a (base case)	n/a (base case)
UK	HIC	severe	0.025	0.1371298807930711	0.30512212243998343	1008.0569409187281	1585.6419194531422	5891.200774140572	4108.521063482685	2033.6296565487219	6277.479883701752	9517.723711843086	5356.201047780048	13772.3952191001	0.22078378156573059	1300.681584877715	49000	49000	147000	24500	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
UK	HIC	severe	0.05	0.09141992052871466	0.20341474829332234	672.0379606124831	1057.0946129687616	5891.200774140563	2739.014042321793	1355.7531043658264	4184.986589134498	6345.149141228729	3570.800698520053	9181.59681273341	0.1471891877104872	867.1210565851428	49000	49000	147000	24500	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
UK	HIC	severe	0.07500000000000001	0.04570996026435731	0.10170737414666092	336.0189803062398	528.5473064843845	5891.20077414059	1369.5070211608918	677.876552182899	2092.4932945672454	3172.574570614356	1785.4003492599868	4590.798406366713	0.07359459385524343	433.56052829257237	49000	49000	147000	24500	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
UK	HIC	severe	0.1	0	0	0	0	NA	0	0	0	0	0	0	0	0	49000	49000	147000	24500	n/a (base case)	n/a (base case)
