scenario_id	group	label	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
SMR-U-LEVIRA	Untreated mortality	Untreated SMR 2.6, Levira 2017 weighted median	Ecuador	0.15733455045637948	-0.012434558301269237	0.3369803617111436	1603.6415649030607	1241.5785541920022	1942.0843745473696	10192.55821592515	-32407.634095638474	68166.00930237252	0.967	-1092.3042759198274	-1760.066571067232	-392.4542692134306	0.001	0.176	0.786	less_severe
SMR-U-LEVIRA	Untreated mortality	Untreated SMR 2.6, Levira 2017 weighted median	Ecuador	0.3152721163610464	0.12355241025134968	0.5043466959109547	1603.6415649030607	1241.5785541920022	1942.0843745473696	5086.531544282168	2961.863087070501	12955.128250057835	0.999	-579.0071867296599	-1319.724051957798	131.19988472046492	0.055	0.754	0.993	mixed
SMR-U-LEVIRA	Untreated mortality	Untreated SMR 2.6, Levira 2017 weighted median	UK	0.18103640061723947	0.10162325874957429	0.2583195496404102	1298.4249055178525	1004.9317715607237	1582.8892488750282	7172.175877839498	4575.777173174365	13194.437012248232	1	3136.9669096045136	1194.8839637030133	5042.957451591576	1	1	1	severe
SMR-U-LEVIRA	Untreated mortality	Untreated SMR 2.6, Levira 2017 weighted median	UK	0.03558831538370192	0.016582467345935242	0.05685166058828852	1298.4249055178525	1004.9317715607237	1582.8892488750282	36484.58465984263	21488.28230388862	79567.75308178684	1	-426.5111786171555	-966.1920315970555	165.10639903646663	0.079	0.803	1	less_severe
SMR-U-LEVIRA	Untreated mortality	Untreated SMR 2.6, Levira 2017 weighted median	UK	0.05551470306069656	0.03563818284984335	0.07714565561579766	1298.4249055178525	1004.9317715607237	1582.8892488750282	23388.84716897846	15659.454529405775	38885.230563235964	1	61.685319469213255	-545.6381833212731	635.0870778161202	0.577	0.997	1	mixed
SMR-U-EQ-T	Untreated mortality	Untreated SMR equal to treated with continuing seizures	Nigeria	1.3030168877067867	0.6568545416460253	1.9089528605664805	2745.9583259644205	2125.8141257505717	3346.227533240834	2107.3850629803455	1294.8929715034785	4183.633034536047	1	-1442.9414382576338	-2352.306866798149	-521.3205869247635	0.001	0.42	0.997	severe
SMR-U-EQ-T	Untreated mortality	Untreated SMR equal to treated with continuing seizures	Nigeria	0.22580431528133751	0.043626644298887365	0.4501711412039683	2745.9583259644205	2125.8141257505717	3346.227533240834	12160.787638372343	5642.688680451577	61634.162730768636	0.997	-2520.154010683083	-3217.522394058833	-1876.357905680506	0	0	0.032	less_severe
SMR-U-EQ-T	Untreated mortality	Untreated SMR equal to treated with continuing seizures	Nigeria	0.3733824377036241	0.1717761511737533	0.5987710007333511	2745.9583259644205	2125.8141257505717	3346.227533240834	7354.278210974806	4245.558247288677	16605.43887392581	1	-2372.5758882607965	-3076.540128877994	-1714.964079398168	0	0	0.271	mixed
SMR-U-EQ-T	Untreated mortality	Untreated SMR equal to treated with continuing seizures	Ecuador	1.3124739420749247	0.6481384508374899	1.9305734636022192	1603.669428733007	1241.387670618482	1942.3129191632415	1221.8676328138931	754.533939504034	2483.0853568292305	1	2661.8708830104983	479.67426953363497	4712.916813717448	0.996	0.999	1	severe
SMR-U-EQ-T	Untreated mortality	Untreated SMR equal to treated with continuing seizures	Ecuador	0.1598208625310456	0.031153785081334675	0.32931449402110496	1603.669428733007	1241.387670618482	1942.3129191632415	10034.168276507018	4621.829011912313	48200.5032500434	0.997	-1084.2516255071089	-1680.6403392747113	-440.2754246731809	0	0.163	0.84	less_severe
