country	setting	severity	gap	quantity	n_draws	estimate	mc_se	mc_lo	mc_hi
Nigeria	LMIC	less_severe	0.4	daly_averted	1000	1.2534745364757365	0.015828719087363326	1.2224502470645044	1.2844988258869685
Nigeria	LMIC	less_severe	0.4	incr_cost	1000	1854.0224825039622	6.7267376572613085	1840.83807669573	1867.2068883121945
Nigeria	LMIC	less_severe	0.4	p_benefit	1000	0.997	0.0017294507798720387	0.9912168282105721	0.9989792345945557
Nigeria	LMIC	less_severe	0.4	p_ce_1x	1000	0.735	0.013956181426163821	0.7067841462790525	0.7614172113853439
Nigeria	LMIC	less_severe	0.4	p_ce_3x	1000	0.96	0.00619677335393187	0.9459900625744302	0.9704891907260906
Nigeria	LMIC	less_severe	0.4	p_ce_oc	1000	0.135	0.010806248192596726	0.11521104013883013	0.15758259582923498
Nigeria	LMIC	less_severe	0.5	daly_averted	1000	0.9401059023568026	0.0118715393155225	0.9168376852983785	0.9633741194152267
Nigeria	LMIC	less_severe	0.5	incr_cost	1000	1390.516861877972	5.045053242945978	1380.6285575217978	1400.405166234146
Nigeria	LMIC	less_severe	0.5	p_benefit	1000	0.997	0.0017294507798720387	0.9912168282105721	0.9989792345945557
Nigeria	LMIC	less_severe	0.5	p_ce_1x	1000	0.735	0.013956181426163821	0.7067841462790525	0.7614172113853439
Nigeria	LMIC	less_severe	0.5	p_ce_3x	1000	0.96	0.00619677335393187	0.9459900625744302	0.9704891907260906
Nigeria	LMIC	less_severe	0.5	p_ce_oc	1000	0.135	0.010806248192596726	0.11521104013883013	0.15758259582923498
Nigeria	LMIC	less_severe	0.6000000000000001	daly_averted	1000	0.626737268237868	0.007914359543681661	0.611225123532252	0.642249412943484
Nigeria	LMIC	less_severe	0.6000000000000001	incr_cost	1000	927.0112412519809	3.363368828630653	920.4190383478648	933.603444156097
Nigeria	LMIC	less_severe	0.6000000000000001	p_benefit	1000	0.997	0.0017294507798720387	0.9912168282105721	0.9989792345945557
Nigeria	LMIC	less_severe	0.6000000000000001	p_ce_1x	1000	0.735	0.013956181426163821	0.7067841462790525	0.7614172113853439
Nigeria	LMIC	less_severe	0.6000000000000001	p_ce_3x	1000	0.96	0.00619677335393187	0.9459900625744302	0.9704891907260906
Nigeria	LMIC	less_severe	0.6000000000000001	p_ce_oc	1000	0.135	0.010806248192596726	0.11521104013883013	0.15758259582923498
Nigeria	LMIC	less_severe	0.7	daly_averted	1000	0.31336863411893434	0.0039571797718408325	0.30561256176612633	0.32112470647174235
Nigeria	LMIC	less_severe	0.7	incr_cost	1000	463.505620625991	1.6816844143153282	460.20951917393296	466.80172207804907
Nigeria	LMIC	less_severe	0.7	p_benefit	1000	0.997	0.0017294507798720387	0.9912168282105721	0.9989792345945557
Nigeria	LMIC	less_severe	0.7	p_ce_1x	1000	0.735	0.013956181426163821	0.7067841462790525	0.7614172113853439
Nigeria	LMIC	less_severe	0.7	p_ce_3x	1000	0.96	0.00619677335393187	0.9459900625744302	0.9704891907260906
Nigeria	LMIC	less_severe	0.7	p_ce_oc	1000	0.135	0.010806248192596726	0.11521104013883013	0.15758259582923498
Nigeria	LMIC	less_severe	0.8	daly_averted	1000	0	0	0	0
Nigeria	LMIC	less_severe	0.8	incr_cost	1000	0	0	0	0
Nigeria	LMIC	less_severe	0.8	p_benefit	1000	0	0	0	0.0038268985863905225
